country,year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,inflation_annual_cpi
Algeria,2000,0,75.3428,0,0,0.3
Algeria,2001,0,77.8196,0,0,4.2
Algeria,2002,0,79.7234,0,0,1.43
Algeria,2003,0,72.6128,0,0,4.2589999999999995
Algeria,2004,0,72.6137,0,0,3.972
Algeria,2005,0,73.3799,0,0,1.382
Algeria,2006,0,71.1582,0,0,2.315
Algeria,2007,0,66.8299,0,0,3.674
Algeria,2008,0,71.1826,0,0,4.855
Algeria,2009,0,72.7309,0,0,5.742999999999999
Algeria,2010,0,74.9437,0,0,3.9130000000000003
Algeria,2011,0,76.0563,0,0,4.522
Algeria,2012,0,78.1025,0,0,8.916
Algeria,2013,0,78.14870129999998,0,0,3.255
Algeria,2014,0,87.9706983,0,0,2.917
Angola,2000,0,16.81784,1,1,325.029
Angola,2001,0,31.94936,1,1,152.586
Angola,2002,0,58.66636999999999,1,1,108.89299999999999
Angola,2003,0,79.08149,0,1,98.34200000000001
Angola,2004,0,85.98779,0,0,43.559
Angola,2005,0,80.77951,0,0,22.961
Angola,2006,0,80.26442,0,0,13.305
Angola,2007,0,75.023,0,0,12.249
Angola,2008,0,75.169,0,0,12.465
Angola,2009,0,89.398,0,0,13.720999999999998
Angola,2010,0,92.64299999999999,0,0,14.48
Angola,2011,0,95.272,0,0,13.484000000000002
Angola,2012,0,95.82588521,0,0,10.285
Angola,2013,0,97.56,0,0,8.782
Angola,2014,0,101.49,0,0,7.296
Central African Republic,2000,0,704.9511016,0,1,3.202
Central African Republic,2001,0,744.3061387,0,1,3.843
Central African Republic,2002,0,625.4953752,0,1,2.298
Central African Republic,2003,0,519.3642122,0,1,4.353
Central African Republic,2004,0,481.5777109,0,1,-2.244
Central African Republic,2005,0,556.0371281,0,1,2.885
Central African Republic,2006,0,498.0690964,0,1,6.694
Central African Republic,2007,0,445.5926907,0,1,0.935
Central African Republic,2008,0,471.33505779999996,0,1,9.262
Central African Republic,2009,0,455.3359711,0,1,3.522
Central African Republic,2010,0,490.9122886,0,1,1.4909999999999999
Central African Republic,2011,0,506.96112530000005,0,1,1.195
Central African Republic,2012,0,497.16310439999995,0,1,5.874
